filename	category_cd	column	data_label	data label source	Control Vocab Cd
TCGA_breast_raw_data.txt	Sample_Factors	1	SUBJ_ID		
TCGA_breast_raw_data.txt	Sample_Factors	2	OMIT		
TCGA_breast_raw_data.txt	Sample_Factors	3	OMIT		
TCGA_breast_raw_data.txt	Sample_Factors	4	OMIT		
TCGA_breast_raw_data.txt	Sample_Factors	5	OMIT		
TCGA_breast_raw_data.txt	Sample_Factors	6	OMIT		
TCGA_breast_raw_data.txt	Sample_Factors	7	Age at Diagnosis		
TCGA_breast_raw_data.txt	Sample_Factors	8	OMIT		
TCGA_breast_raw_data.txt	Sample_Factors	9	OMIT		
TCGA_breast_raw_data.txt	Sample_Factors+Histology	10	axillary lymph node stage method type		
TCGA_breast_raw_data.txt	Sample_Factors+Histology	11	axillary_lymph_node_stage_other_method_descriptive_text		
TCGA_breast_raw_data.txt	Sample_Factors+Histology	12	breast_cancer_optical_measurement_histologic_type		
TCGA_breast_raw_data.txt	Sample_Factors+Other_Variables	13	breast_cancer_surgery_margin_status		
TCGA_breast_raw_data.txt	Sample_Factors+Histology	14	breast_carcinoma_estrogen_receptor_status		
TCGA_breast_raw_data.txt	Sample_Factors+Other_Variables	15	breast_carcinoma_first_surgical_procedure_name		
TCGA_breast_raw_data.txt	Sample_Factors+Histology	16	breast_carcinoma_immunohistochemistry_pos_cell_score		
TCGA_breast_raw_data.txt	Sample_Factors+Histology	17	breast_carcinoma_progesterone_receptor_status		
TCGA_breast_raw_data.txt	Sample_Factors+Other_Variables	18	breast_carcinoma_surgical_procedure_name		
TCGA_breast_raw_data.txt	Sample_Factors+Other_Variables	19	breast_neoplasm_other_surgical_procedure_descriptive_text		
TCGA_breast_raw_data.txt	Sample_Factors+TNM_Category	20	M - Metastasis stages		
TCGA_breast_raw_data.txt	Sample_Factors+Histology	21	Tumour Stage		
TCGA_breast_raw_data.txt	Sample_Factors+TNM_Category	22	N - Node stages		
TCGA_breast_raw_data.txt	Sample_Factors+TNM_Category	23	T - Tumour stages		
TCGA_breast_raw_data.txt	Sample_Factors+Other_Variables	24	cytokeratin_immunohistochemistry_staining_method_micrometastasis_indicator		
TCGA_breast_raw_data.txt	Sample_Factors	25	OMIT		
TCGA_breast_raw_data.txt	Sample_Factors	26	OMIT		
TCGA_breast_raw_data.txt	Sample_Factors+End_Points	27	Days to birth		
TCGA_breast_raw_data.txt	Sample_Factors+End_Points	28	Days to death		
TCGA_breast_raw_data.txt	Sample_Factors+End_Points	29	Days to form completion		
TCGA_breast_raw_data.txt	Sample_Factors	30	OMIT		
TCGA_breast_raw_data.txt	Sample_Factors+End_Points	31	days_to_last_followup		
TCGA_breast_raw_data.txt	Sample_Factors+End_Points	32	days_to_last_known_alive		
TCGA_breast_raw_data.txt	Sample_Factors	33	OMIT		
TCGA_breast_raw_data.txt	Sample_Factors	34	disease_surgical_margin_status		
TCGA_breast_raw_data.txt	Sample_Factors	35	er_detection_method_text		
TCGA_breast_raw_data.txt	Sample_Factors	36	er_level_cell_percentage_category		
TCGA_breast_raw_data.txt	Sample_Factors	37	OMIT		
TCGA_breast_raw_data.txt	Sample_Factors+Other_Variables+Diagnostics	38	first_pathologic_diagnosis_biospecimen_acquisition_method_type		
TCGA_breast_raw_data.txt	Sample_Factors+Other_Variables+Diagnostics	39	first_pathologic_diagnosis_biospecimen_acquisition_other_method_text		
